,index,X_1,X_2,X_3,X_4,X_5,X_6,X_7,X_8,target
0,0,2.335170390331373,2.0423913049288522,-2.315623914491697,3.3446777139881703,2.563713284044269,0.8083029642549036,-1.3673059250905335,-0.519642754177994,2
1,1,-1.5154871879033396,3.5017588146268683,-4.401587866399591,-0.7333718062598733,-5.362942083552181,-1.9074021017792724,-2.2632834048618005,3.744731807558309,1
2,2,-0.014790013138628044,-1.0557883243865471,-1.3647106751195908,1.6893896586786024,-3.19454984049306,1.2443056221065543,-0.5312591663881465,0.5961545533430994,0
3,3,0.7633210622614577,-2.596251167029389,-1.1215652820215718,3.4071475165684473,-1.8225116627278344,-0.25771778644949905,1.73088672953854,1.208487532487783,0
4,4,4.409544203944636,1.364770547998562,3.4143410652738435,-0.6792682913125256,-0.9285646416144173,0.9687676176365176,0.29344812424461786,0.5444187437402812,2
5,5,-0.6246539490823759,0.3562418069804796,1.610450641407403,1.9695865163336366,0.1623022679226711,-2.062792589582646,1.9677608577954238,-2.6350040616524475,2
6,6,1.7416884272931084,5.512399983751631,-2.2605583976711534,-0.9485203125853072,-3.88472785030572,-1.5137149322839387,0.30913802726402495,-1.8115590616316513,1
7,7,-3.435462465299375,-0.011856017555093468,-2.9678069756931595,-2.1328748827015946,-0.5962808250843218,2.6984989408301647,0.031123672515762424,2.5470118813605795,0
8,8,-0.5032184354610698,0.8058260281672727,-0.2770433924327753,-0.8416309473616979,-2.191495700634368,3.715442221471503,-2.095001300616878,2.2960971332155697,0
9,9,2.5130241265334727,5.616968151871718,-5.631709090784339,-1.2247598347220547,0.4315650011601535,1.9762584799765537,-2.2493722784349286,4.028145193152817,2
10,10,-0.8615772904222851,0.36465623322131113,2.087049434045993,3.168146198879042,-3.70438914480735,-0.48124890537158405,-0.17191716766162346,0.29116050189731957,1
11,11,0.631326101158598,2.5938709367070447,-3.514357455953975,-1.1907137179609926,3.580546445751223,-1.1920118864787281,-7.469385891261986,2.660875358904297,2
12,12,1.199379679817453,0.7057561310332126,1.5647038143410885,1.6489936498777085,2.1825536239345675,1.2853631854603105,3.576341856161453,-5.282697492896987,1
