,index,X_1,X_2,target
0,0,1.0279167828666946,1.0822785522475564,1
1,1,1.4068489600511267,-1.3780832317786638,0
2,2,1.519132526563894,1.3564945650798115,1
3,3,-0.8368955922332968,-1.185549273916894,2
4,4,-1.6492417274515496,-0.241277427950796,2
5,5,0.646982614199725,0.7213906983560617,1
6,6,1.873846615894077,-3.469764187851223,0
7,7,0.5376552444973618,0.6635699324587063,1
8,8,-1.2919061025963554,-0.6045878302717582,2
9,9,-0.3156232197733917,-2.114899212312744,2
10,10,-0.9157245969561424,-0.6519581593123858,2
11,11,0.13612114243162354,1.1506899351159747,0
12,12,-0.7495524091743155,-0.1317485088581163,1
13,13,0.7239634211607908,0.6895032639037166,1
14,14,-0.9075125427502244,-1.297432664547996,2
15,15,-1.2471273709295359,-0.5567620071869657,2
16,16,0.7948776599077174,0.8184651072229053,1
17,17,0.5449808809978616,0.7477484816706028,1
18,18,1.0322412303755164,1.022308363551563,1
19,19,-1.151847448785378,-1.1286117326243057,2
20,20,0.6268926254556384,-0.7049051971083946,0
21,21,-2.0873602900670587,0.2986893537690236,2
22,22,1.196683412416399,-0.6344585164464307,0
23,23,1.2559920547500274,-3.2636317330977107,0
24,24,1.0838917334610436,-0.08431546024965386,0
25,25,2.3047382535749183,1.8558575252662526,1
26,26,-1.1084919790770225,-0.36789120029003053,1
27,27,2.019954002965222,1.5972106044579264,1
28,28,-0.5008000393425271,-1.7130806392732811,2
29,29,0.19358978864660525,0.5172332367259891,1
30,30,2.2206635496431666,1.698098130662705,1
31,31,0.3258850008365155,-1.5274881436124788,0
32,32,1.4917643354113168,-1.9428810302581367,0
33,33,2.8397486752348984,2.236830746739317,1
34,34,3.959953815022932,2.7667175584491455,1
35,35,-0.15249277957733853,-1.914435671973132,2
36,36,1.6929040821924493,-3.5125580319869196,0
37,37,2.65997362539011,-2.9234629658950553,0
38,38,1.2622179622263006,-0.7607262982313641,0
39,39,-1.273914673609362,-0.8354230147522804,2
40,40,-1.4502977388365315,-0.10460187735253135,2
