,index,X_1,X_2,target
0,0,-1.7249595831569646,0.5114957541579386,2
1,1,-0.5284237149280748,-0.6565669321579763,0
2,2,-1.4714638735502528,0.6351557783272456,2
3,3,-0.5719317493146174,2.203159168701628,3
4,4,-1.4478319954052978,0.7499217129602183,2
5,5,-2.1785188265208655,0.34007898244044366,2
6,6,-1.5914413231764364,-1.528047075881549,0
7,7,1.115277011218479,-2.3186459543187725,1
8,8,-0.5682098860422301,1.3454671736032005,2
9,9,-0.48101358419710794,2.647676678353459,3
10,10,0.48228674368234004,1.3991501404226825,3
11,11,-1.404341557140428,-1.3345916392576316,0
12,12,-1.3326876696138221,0.9472584015900292,2
13,13,0.2148399618660053,-0.7107744737072492,1
14,14,-0.34501408015952795,1.375577777090687,2
15,15,-3.1379836116745428,-0.31758966056352844,2
16,16,-0.23287203593466854,-0.7076711468631385,1
17,17,-1.779822323044606,0.4538451599995287,2
18,18,-0.44052172486948815,1.0307784571956868,1
19,19,1.5375561119154697,0.20616398349900067,3
20,20,2.306036407618824,-1.2477993326804024,1
21,21,2.205892646884495,-0.0873560592113789,3
22,22,-0.36628320973926454,-0.48438701143923446,0
23,23,0.5065387477490542,0.2688151102059164,0
24,24,-0.29321612992142176,-0.469374599875076,0
25,25,0.8630422186343736,-1.637346858816628,1
26,26,1.778136454698844,-0.41562979960508084,1
27,27,-1.0297001124565508,0.9695480884405616,2
28,28,-1.5130216392390157,0.6006689434449501,2
29,29,1.838572476671391,-1.7817473274456441,1
30,30,1.2280993812837875,-0.6406340506044607,1
31,31,0.03570878582719428,-0.1643063575233198,0
32,32,-0.29772666591533536,-0.33969728698003965,0
33,33,-0.9994646210078816,0.9637170386887058,2
34,34,1.5287093973730714,-1.8190325539919856,1
35,35,-0.9018001938981882,1.046820815778567,2
36,36,-2.6883164011130987,-2.315416864427805,0
37,37,-0.7055914970285402,-0.7824898648295655,0
38,38,-0.5286393959198905,-0.6782862732724784,0
39,39,-0.36212830134570406,1.4566691693970628,2
40,40,1.51322974125479,0.4403970946607405,3
41,41,-0.6943771074969269,1.1543472697748405,2
42,42,1.787303372754536,-2.5022242642159007,1
43,43,0.24076925792252646,-0.094430592254098,0
44,44,0.35558249460105096,-0.13568063841139744,1
45,45,3.3924718372347824,-1.0050280695091858,3
46,46,0.019954002965221873,1.5972106044579264,2
47,47,-1.8036417566988967,0.3964489861575654,2
48,48,-1.776695423993969,0.5193782950969935,2
49,49,-0.6767718137311274,-0.8002549965044649,0
50,50,1.8876631611443497,0.3466221210979119,3
51,51,-1.1019538537380325,0.9757818506159437,2
52,52,-1.6979235174909317,0.6562781865963627,2
53,53,2.4026341511973794,-0.40477543019442397,3
54,54,-1.8487824394675063,-1.6499750203274475,0
55,55,-1.0891112663275695,0.8965732268032965,2
56,56,0.7080938974036446,1.3954121697282418,3
57,57,-0.32554459291033955,-0.5492449871554009,0
58,58,0.056822286819865675,0.12775659819691798,1
59,59,-0.3557299394180591,2.417355856366396,3
60,60,-1.44992994458645,-1.3680590812528592,0
61,61,0.6031439703819854,0.870016937270092,3
62,62,0.9152089806639621,-0.18453543524486016,1
63,63,0.6765956133714324,0.3546982375706478,1
64,64,-0.9842542750673301,0.9926655784160046,2
65,65,-2.513665036356656,0.07844897112263016,2
66,66,1.0139777675151236,1.2781239197443144,3
67,67,-1.4213774957000374,-1.4327258514660584,0
68,68,-0.8896576423663518,1.0428820930811549,2
69,69,1.1937137712771633,-0.7052664350046896,1
70,70,2.2473752290114213,-0.1207153851764533,3
71,71,1.7815250210760767,-1.373444579582277,1
72,72,1.1879393801704197,1.3405229683490063,3
73,73,1.124091039060355,-0.6486558448184531,1
74,74,-1.2942562766489596,-1.1385698380596743,0
75,75,-1.353017385800275,0.7213906983560617,2
76,76,1.4345063257133497,0.6876398024193326,3
77,77,-0.06921911283089965,-0.24068633850869725,0
78,78,-0.1264501584728186,1.4472556558446585,2
79,79,-1.1458971467715595,0.8183158133270267,2
80,80,-1.7556271841376432,0.525989139626039,2
81,81,0.8094809233146487,-0.023944141617120662,1
82,82,-1.1472946255053775,0.9672585023844397,2
83,83,0.13197851532355864,-0.006295608894209548,0
84,84,1.01020515902709,-0.4642400259483379,1
85,85,-2.3725241774530046,0.10243276843483717,2
86,86,0.9792557634301321,0.914791534730395,3
87,87,-2.655458393788477,-0.09193805506889108,2
88,88,1.735033511177079,-1.6601651925145207,1
89,89,-0.4432760926590925,1.34313693533356,2
90,90,-1.8701411369552634,0.4410653798606231,2
91,91,-0.6015218325270004,1.1737421737914822,2
92,92,2.3452419649139937,-3.2190332971608977,1
93,93,2.166157068041483,-0.019788230441180943,3
94,94,-1.0602608811750573,-0.9909926839705603,0
95,95,0.07936047048544859,0.14227532705221413,1
96,96,-0.8258232602378056,-0.8188903439000539,0
97,97,-2.3828341074072847,-2.1242664933245132,0
98,98,-1.6837487419195272,-1.4822927027970492,0
99,99,0.5308856675909421,1.5452441606961889,3
100,100,2.135842779075919,-0.4014654959313966,3
101,101,-1.3748361172296497,0.7511542559905545,2
102,102,-1.9998054384975115,-1.7095821493748997,0
103,103,1.153722453015625,-1.6996533069578899,1
104,104,1.4511780345686027,-2.1098989398741126,1
105,105,-0.18886117040020134,-0.29303325056106455,0
106,106,1.460601523967799,-1.3313597578891823,1
